rcm_id	prcptot	cwd	cdd	r10mm	r20mm	r30mm	r50mm	r95p	r99p	rx1day	rx5day	sdii
CAM22_HadGEM2_RegCM	2.6095	3.1250	0.3188	1.2836	1.6571	2.4444	5.8000	5.1082	6.5826	6.9856	6.1471	1.6000
CAM22_GFDL_RegCM	1.7305	3.9375	0.2609	1.3134	1.4286	1.8333	2.8000	2.5385	3.6087	4.1439	3.3866	1.0000
CAM22_MPI_RegCM	2.5515	5.8750	0.2609	1.8657	2.2000	2.8333	4.6000	3.7260	5.5826	4.8777	4.8613	1.4000
CAM22_HadGEM2_REMO	0.0645	0.3750	0.4493	0.0149	0.0286	0.0556	0.2000	0.0649	0.1391	0.3957	0.3277	0.1333
CAM22_NorESM_REMO	0.0450	0.2500	0.8551	0.0299	0.0286	0.0556	0.2000	0.0841	0.1217	0.6259	0.3824	0.2000
CAM22_MPI_REMO	0.0960	0.3750	0.4638	0.0448	0.0571	0.0556	0.2000	0.1995	0.3739	1.4604	1.3067	0.2000
CAM22_CanESM_CRCM	0.7945	2.3125	0.2464	0.6716	0.4000	0.2778	0.4000	0.8870	1.0435	0.7122	1.0042	0.4667
CAM22_GFDL_CRCM	2.3340	5.3125	0.1594	1.6567	1.7714	2.4444	5.0000	3.4255	3.7043	1.5108	3.2017	1.1333
CAM22_CNRM_CRCM	1.5495	2.5000	0.1594	0.9851	0.9714	1.3333	2.4000	2.6611	3.3826	1.8489	2.4916	0.8000
CAM44_HadGEM2_RCA	2.3190	2.6250	0.7826	1.7463	2.4286	3.3889	5.0000	2.3870	2.7913	2.3525	3.2773	1.6667
CAM44_CanESM_RCA	0.2820	0.4375	1.3333	0.2388	0.2286	0.2222	0.4000	0.4399	0.5565	1.3094	1.5042	0.6667
CAM44_EARTH_RCA	3.0925	4.6875	0.4493	2.3433	3.5429	4.8889	6.4000	2.7356	3.1913	2.0504	2.7857	1.8667
CAM44_CM5A_RCA	0.2130	0.3750	1.9130	0.1791	0.1714	0.2222	0.4000	0.3606	0.5826	1.9137	2.2185	0.6667
CAM44_NorESM_RCA	0.2145	0.5000	0.9565	0.2239	0.1429	0.1111	0.2000	0.2668	0.2957	0.6331	0.7101	0.4000
CAM44_CNRM_RCA	2.8900	4.0000	0.6812	2.2239	3.2000	4.4444	6.8000	2.3702	2.3913	2.2374	2.5000	1.8667
CAM44_GFDL_RCA	2.0525	3.6875	0.7391	1.7164	2.3714	3.0000	4.0000	1.7548	1.8870	1.9640	2.7605	1.5333
CAM44_MIROC_RCA	1.6390	2.0000	0.8986	1.2388	1.6286	2.2222	3.6000	1.8269	2.2522	2.0647	3.0798	1.4667
CAM44_CSIRO_RCA 	1.5085	1.6250	0.8406	1.0000	1.3143	1.8333	3.6000	2.0889	2.4609	2.7482	3.4622	1.4667
CAM44_MPI_RCA	3.6060	5.1250	0.4348	2.5224	3.9143	5.8889	10.0000	2.8413	3.0522	2.0647	2.4328	2.1333
